ablation,mobility_context,parent_window_present,controlling_expected,success_count,finite_window,lower_boundary_present,upper_boundary_present,boundary_gap_C,destructive_as_expected,noncontrolling_preserves_window,ablation_interpretation,classifications,resolved_pathway_active,ablation_interpretable,reason_not_interpretable,ablation_result
no_PR_damage,bounded_uncertainty_factor_0p1,False,True,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE|MIXED_FAILURE|MIXED_FAILURE|MIXED_FAILURE,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_closed_transition,bounded_uncertainty_factor_0p1,False,True,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE|MIXED_FAILURE|MIXED_FAILURE|MIXED_FAILURE,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_closed_shrinkage,bounded_uncertainty_factor_0p1,False,True,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
infinite_closed_accommodation,bounded_uncertainty_factor_0p1,False,True,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,False,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_TJ_multihit,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_residual_stress,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_pore_drag,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_persistent_junction_state,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_sweep_coalescence,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
no_network_heterogeneity,bounded_uncertainty_factor_0p1,False,False,0,False,False,True,,,,not testable because parent context has no finite window,DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|DENSIFICATION_EXHAUSTION_FAILURE|MIXED_FAILURE,True,False,not_interpretable_parent_has_no_window,not_interpretable_parent_has_no_window
